"household_id","year","marital","sex","age","work_status"
"3115172.0",2015,"1.0","1.0",66,"NaN"
"3115201.0",2015,"1.0","1.0",72,"NaN"
"3115202.0",2015,"1.0","1.0",72,"NaN"
"3115211.0",2015,"1.0","1.0",62,"1.0"
"3115212.0",2015,"1.0","1.0",62,"1.0"
"3115252.0",2015,"1.0","1.0",54,"2.0"
"3115281.0",2015,"1.0","1.0",70,"1.0"
"3115282.0",2015,"1.0","1.0",70,"1.0"
"3115292.0",2015,"1.0","1.0",63,"2.0"
"3115411.0",2015,"1.0","1.0",68,"2.0"
"3115412.0",2015,"1.0","1.0",68,"2.0"
"3115421.0",2015,"1.0","1.0",56,"1.0"
"3115422.0",2015,"1.0","1.0",56,"1.0"
"3115441.0",2015,"1.0","1.0",50,"1.0"
"3115442.0",2015,"1.0","1.0",50,"1.0"
"3115491.0",2015,"1.0","1.0",42,"1.0"
"3115492.0",2015,"1.0","1.0",42,"1.0"
"3115511.0",2015,"1.0","1.0",79,"NaN"
"3115512.0",2015,"1.0","1.0",79,"NaN"
"3115522.0",2015,"1.0","1.0",72,"NaN"
"3115531.0",2015,"1.0","1.0",33,"1.0"
"3115532.0",2015,"1.0","1.0",33,"1.0"
"3115631.0",2015,"1.0","1.0",57,"2.0"
"3115632.0",2015,"1.0","1.0",57,"2.0"
"3115671.0",2015,"1.0","1.0",30,"1.0"
"3115672.0",2015,"1.0","1.0",30,"1.0"
"3115711.0",2015,"1.0","1.0",33,"1.0"
"3115712.0",2015,"1.0","1.0",33,"1.0"
"3115861.0",2015,"1.0","1.0",47,"1.0"
"3115862.0",2015,"1.0","1.0",47,"1.0"
"3115872.0",2015,"1.0","1.0",44,"1.0"
"3115891.0",2015,"1.0","1.0",56,"1.0"
"3115892.0",2015,"1.0","1.0",56,"1.0"
"3115911.0",2015,"1.0","1.0",54,"2.0"
"3115912.0",2015,"1.0","1.0",54,"2.0"
"3115921.0",2015,"1.0","1.0",50,"1.0"
"3115922.0",2015,"1.0","1.0",50,"1.0"
"3115942.0",2015,"1.0","1.0",29,"1.0"
"3115961.0",2015,"1.0","1.0",63,"1.0"
"3115971.0",2015,"1.0","1.0",44,"1.0"
"3115972.0",2015,"1.0","1.0",44,"1.0"
"3115991.0",2015,"1.0","1.0",27,"1.0"
"3115991.0",2015,"1.0","1.0",29,"NaN"
"3115992.0",2015,"1.0","1.0",27,"1.0"
"3115992.0",2015,"1.0","1.0",29,"NaN"
"3116001.0",2015,"1.0","1.0",82,"1.0"
"3116002.0",2015,"1.0","1.0",82,"1.0"
"3116031.0",2015,"1.0","1.0",44,"1.0"
"3116032.0",2015,"1.0","1.0",44,"1.0"
"3116051.0",2015,"1.0","1.0",87,"NaN"
"3116052.0",2015,"1.0","1.0",87,"NaN"
"3116071.0",2015,"1.0","1.0",54,"2.0"
"3116072.0",2015,"1.0","1.0",54,"2.0"
"3116081.0",2015,"1.0","1.0",61,"1.0"
"3116082.0",2015,"1.0","1.0",61,"1.0"
"3116151.0",2015,"1.0","1.0",45,"1.0"
"3116152.0",2015,"1.0","1.0",45,"1.0"
"3116161.0",2015,"1.0","1.0",44,"1.0"
"3116162.0",2015,"1.0","1.0",44,"1.0"
"3116171.0",2015,"1.0","1.0",51,"1.0"
"3116172.0",2015,"1.0","1.0",51,"1.0"
"3116191.0",2015,"1.0","1.0",34,"1.0"
"3116192.0",2015,"1.0","1.0",34,"1.0"
"3116201.0",2015,"1.0","1.0",76,"2.0"
"3116202.0",2015,"1.0","1.0",76,"2.0"
"3116211.0",2015,"1.0","1.0",28,"1.0"
"3116212.0",2015,"1.0","1.0",28,"1.0"
"3116221.0",2015,"1.0","1.0",39,"1.0"
"3116222.0",2015,"1.0","1.0",39,"1.0"
"3116231.0",2015,"1.0","1.0",34,"1.0"
"3116232.0",2015,"1.0","1.0",34,"1.0"
"3116261.0",2015,"1.0","1.0",72,"NaN"
"3116262.0",2015,"1.0","1.0",72,"NaN"
"3116291.0",2015,"1.0","1.0",52,"1.0"
"3116292.0",2015,"1.0","1.0",52,"1.0"
"3116301.0",2015,"1.0","1.0",80,"NaN"
"3116302.0",2015,"1.0","1.0",80,"NaN"
"3116321.0",2015,"1.0","1.0",39,"1.0"
"3116322.0",2015,"1.0","1.0",39,"1.0"
"3116351.0",2015,"1.0","1.0",38,"2.0"
"3116352.0",2015,"1.0","1.0",38,"2.0"
"3116401.0",2015,"1.0","1.0",70,"NaN"
